LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_ON_TIME,Y
20000,2,2,1,24,1,1
120000,2,2,2,26,0,1
90000,2,2,2,34,0,0
50000,2,2,1,37,0,0
50000,1,2,1,57,1,0
50000,1,1,2,37,0,0
500000,1,1,2,29,0,0
100000,2,2,2,23,1,0
140000,2,3,1,28,0,0
20000,1,3,2,35,1,0
200000,2,3,2,34,0,0
260000,2,1,2,51,1,0
630000,2,2,2,41,1,0
70000,1,2,2,30,0,1
250000,1,1,2,29,0,0
50000,2,3,3,23,0,0
20000,1,1,2,24,0,1
320000,1,1,1,49,1,0
360000,2,1,1,49,1,0
180000,2,1,2,29,1,0
130000,2,3,2,39,1,0
120000,2,2,1,39,1,1
70000,2,2,2,26,0,1
450000,2,1,1,40,1,1
90000,1,1,2,23,1,0
50000,1,3,2,23,0,0
60000,1,1,2,27,1,1
50000,2,3,2,30,0,0
50000,2,3,1,47,1,0
50000,1,1,2,26,0,0
230000,2,1,2,27,1,0
50000,1,2,2,33,0,1
100000,1,1,2,32,0,0
500000,2,2,1,54,1,0
500000,1,1,1,58,1,0
160000,1,1,2,30,1,0
280000,1,2,1,40,0,0
60000,2,2,2,22,1,0
50000,1,1,2,25,1,1
280000,1,1,2,31,1,0
360000,1,1,2,33,0,0
70000,2,1,2,25,0,0
10000,1,2,2,22,0,0
140000,2,2,1,37,0,0
40000,2,1,2,30,0,0
210000,1,1,2,29,1,1
20000,2,1,2,22,0,1
150000,2,5,2,46,1,1
380000,1,2,2,32,1,0
20000,1,1,2,24,0,0
70000,1,3,2,42,0,1
100000,2,3,3,43,0,0
310000,2,2,1,49,1,0
180000,2,1,2,25,0,0
150000,2,1,2,29,0,0
500000,2,1,1,45,1,0
180000,2,3,1,34,1,0
180000,2,2,1,34,0,0
200000,2,1,2,34,0,0
400000,2,2,1,29,0,0
500000,2,3,1,28,0,1
70000,1,2,1,39,1,0
50000,1,1,2,29,0,1
50000,2,2,1,46,1,1
130000,2,2,1,51,1,0
200000,1,1,1,57,1,1
10000,1,2,1,56,0,1
210000,2,1,2,30,1,0
130000,2,3,2,29,1,0
20000,1,5,2,22,0,0
80000,1,1,2,31,1,0
320000,1,2,2,29,0,1
200000,2,2,1,32,1,0
290000,2,1,2,37,1,0
340000,1,1,2,32,1,0
20000,1,2,2,24,0,0
50000,1,3,2,25,1,0
300000,2,1,1,45,1,0
30000,2,2,2,22,0,1
240000,2,2,2,44,1,1
470000,2,3,3,33,0,0
360000,2,1,2,26,1,0
60000,1,3,2,30,0,1
400000,2,2,1,44,0,0
50000,2,3,2,49,0,0
160000,1,2,2,33,0,0
360000,2,1,1,45,1,1
160000,2,2,2,32,1,0
130000,2,1,1,35,1,0
20000,1,3,2,44,0,0
200000,1,1,1,53,0,1
280000,2,1,2,39,1,0
100000,2,1,2,27,1,0
160000,2,2,1,37,1,0
60000,2,2,2,23,0,0
90000,1,2,2,35,0,0
